"","id","establishmentMeans","order","family","genus","scientificName","taxonRank"
"1","urn:lsid:zoobank.org:act:6EA26016-AA16-45D8-9D36-D78C925882E4","Endémico para: Colombia","Myliobatiformes","Potamotrygonidae","Potamotrygon","Potamotrygon magdalenae","Especie"
"2","urn:lsid:zoobank.org:act:FDD955BA-9FF7-4440-9FC9-906025E86FB8","Endémico para: Colombia","Characiformes","Crenuchidae","Characidium","Characidium caucanum","Especie"
"3","urn:lsid:zoobank.org:act:DD25AADA-BFDC-46CA-88C9-37AA76784503","Endémico para: Colombia","Characiformes","Crenuchidae","Characidium","Characidium chancoense","Especie"
"4","urn:lsid:zoobank.org:act:8FF98695-5F2D-449D-B315-7E9F5A6C6254","Endémico para: Colombia","Characiformes","Crenuchidae","Characidium","Characidium phoxocephalum","Especie"
"5","urn:lsid:zoobank.org:act:DDB4BF0A-27A2-4EC8-B211-AFACD8585EF6","Endémico para: Colombia","Characiformes","Crenuchidae","Characidium","Characidium sanctjohanni","Especie"
"6","urn:lsid:catalogueoflife.org:taxon:15ed263a-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Parodontidae","Parodon","Parodon alfonsoi","Especie"
"7","urn:lsid:catalogueoflife.org:taxon:15ed2799-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Parodontidae","Parodon","Parodon atratoensis","Especie"
"8","urn:lsid:zoobank.org:act:2B1FD88B-7EF6-4479-AC91-15558715C4B3","Endémico para: Colombia","Characiformes","Parodontidae","Parodon","Parodon caliensis","Especie"
"9","urn:lsid:catalogueoflife.org:taxon:15ed24dd-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Parodontidae","Parodon","Parodon magdalenensis","Especie"
"10","urn:lsid:catalogueoflife.org:taxon:46deabec-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Anostomidae","Abramites","Abramites eques","Especie"
"11","urn:lsid:zoobank.org:act:CB71D5E7-0E42-4866-AE2B-ECFC507FA8D5","Endémico para: Colombia","Characiformes","Anostomidae","Leporinus","Leporinus boehlkei","Especie"
"12","urn:lsid:zoobank.org:act:0E60FBA9-BD47-4318-BB31-788FAE668393","Endémico para: Colombia","Characiformes","Anostomidae","Leporinus","Leporinus niceforoi","Especie"
"13","urn:lsid:zoobank.org:act:E16C2CA0-3DD0-4F9C-8B9C-21FCBD15FC0F","Endémico para: Colombia","Characiformes","Anostomidae","Megaleporinus","Megaleporinus muyscorum","Especie"
"14","urn:lsid:zoobank.org:act:FC2FFB6E-2807-4A2D-B3F2-D27E6113C554","Endémico para: Colombia","Characiformes","Curimatidae","Curimata","Curimata mivartii","Especie"
"15","urn:lsid:zoobank.org:act:82F4EA28-5E8A-42F2-9FD1-8C5B339A8158","Endémico para: Colombia","Characiformes","Curimatidae","Pseudocurimata","Pseudocurimata patiae","Especie"
"16","urn:lsid:catalogueoflife.org:taxon:219b68fb-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Curimatidae","Steindachnerina","Steindachnerina atratoensis","Especie"
"17","urn:lsid:zoobank.org:act:59E3B33F-1AA9-4286-B8EE-CA5332710F7E","Endémico para: Colombia","Characiformes","Prochilodontidae","Ichthyoelephas","Ichthyoelephas longirostris","Especie"
"18","urn:lsid:catalogueoflife.org:taxon:2f8283bd-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Prochilodontidae","Prochilodus","Prochilodus magdalenae","Especie"
"19","urn:lsid:catalogueoflife.org:taxon:15ea3c53-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina chocoensis","Especie"
"20","urn:lsid:zoobank.org:act:620E10F3-AEB2-4EF7-8D92-2972F092A6FE","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina chucuriensis","Especie"
"21","urn:lsid:catalogueoflife.org:taxon:1669d90b-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina colombia","Especie"
"22","urn:lsid:zoobank.org:act:925FDC60-AAF6-41EE-A5EB-69D7CFB28A6E","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina floridablancaensis","Especie"
"23","urn:lsid:zoobank.org:act:A0B14094-BB54-4DBC-A5C3-B69BC366387C","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina multimaculata","Especie"
"24","urn:lsid:zoobank.org:act:C1352E29-BAA1-4E5E-8501-AF5F84A2DC39","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina narinensis","Especie"
"25","urn:lsid:catalogueoflife.org:taxon:16691297-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Lebiasinidae","Lebiasina","Lebiasina ortegai","Especie"
"26","urn:lsid:zoobank.org:act:20C76C07-BF8B-4442-B69E-3C4E05E3D6DE","Endémico para: Colombia","Characiformes","Acestrorhynchidae","Gilbertolus","Gilbertolus alatus","Especie"
"27","urn:lsid:catalogueoflife.org:taxon:215f7195-d35f-11e6-9d3f-bc764e092680:col20170428","Endémico para: Colombia","Characiformes","Acestrorhynchidae","Gilbertolus","Gilbertolus atratoensis","Especie"
"28","urn:lsid:zoobank.org:act:C6EF3C12-0DF7-4568-8848-BD520A2B9C09","Endémico para: Colombia","Characiformes","Characidae","Grundulus","Grundulus bogotensis","Especie"
"29","urn:lsid:zoobank.org:act:820EA594-56AB-4A57-B327-A4BEE84A7339","Endémico para: Colombia","Characiformes","Characidae","Grundulus","Grundulus cochae","Especie"
