"occ_id","Record.ID","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Minimum.elevation.in.meters","Maximum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Year","Month","Basis.Of.Record","Basis.Of.Record...original","Occurrence.status","Sex","Taxonomic.Quality","Location.Quality","Collector","identified._.by","identified._.date","Record.number","raw._.sampling._.protocol","event._.id","Occurrence.status.assumed.to.be.present","Coordinates.are.out.of.range.for.species","Coordinates.dont.match.supplied.country","Day.and.month.transposed","Depth.value.supplied.in.feet","Depth.value.non.numeric","Depth.out.of.range","First.of.the.month","First.of.the.year","Identification.date.before.occurrence.date","Incomplete.collection.date","Invalid.collection.date","Name.not.in.national.checklists","Name.not.recognised","Collector.name.unparseable","Supplied.country.not.recognised","Kingdom.not.recognised","Type.status.not.recognised","Unrecognized.geodetic.datum","valid_coord",".val",".equ",".zer",".cap",".cen",".sea",".otl",".gbf",".inst",".summary"
"occ_001","fc63d9f6-545d-4570-8fa7-c9fece4cfac6","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",21258,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","Km 3 da estrada Porto Canoinha-Porto Vitória, SC",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"20",1964,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","","F.A.G.Melo","2001-01-01",NA,NA,"Z64031301","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_002","fa9c2b4b-6f0a-4a7d-8d45-7f823f4ab6f5","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",21489,233203,"Astyanax fasciatus",NA,"Astyanax fasciatus","species","Mexican tetra","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax fasciatus","MNRJ","ICTIOLOGIAMNRJ","rio São Francisco, Pirapora, MG",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"47",1958,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","H.Travassos","F.A.G.Melo","2001-01-01",NA,NA,"HT58031301","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_003","f7c4771a-e5f3-41c8-b559-405d74f7cb0a","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",22059,233082,"Astyanax bimaculatus",NA,"Astyanax bimaculatus","species","Twospot astyanax","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax bimaculatus","MNRJ","ICTIOLOGIAMNRJ","rio marimbú, Santo Antonio, Andaraí, BA",-12.76083333,-41.29194444,"unknown",-12.76083333,-41.29194444,NA,"",NA,NA,NA,NA,NA,"13",1999,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Clistenes","A.Clistenes","2001-01-01",NA,NA,"ACAS99031503","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"occ_004","f754962c-e07f-494c-8106-0bdcdbb60571","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",25400,264352,"Astyanax hastatus",NA,"Astyanax hastatus","species","","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax hastatus","MNRJ","ICTIOLOGIAMNRJ","rio Grande, Estrada do Pau da Fome, 1,5Km a jusante do Parque Estadual da Pedra Branca, sob a ponte",-22.91666667,-43.41666667,"unknown",-22.91666667,-43.41666667,NA,"",NA,NA,NA,NA,NA,"2",2003,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","J.R.Gomes","J.R.Gomes","2003-01-01",NA,NA,"JRG2003030601","true","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_005","ed47c9f4-f463-4d9b-95a7-630003272fb7","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",28278,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","córrego afl.do rio Pará (bacia do São Francisco), Vila do Cercado, Munic. de Pitanguy, Minas Gerais",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"10",1947,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","Rafael Costa Cruz Figueira","F.A.G.Melo","2004-01-01",NA,NA,"RCCF47030001","true","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occ_006","ea888859-d3e4-48d3-b97f-bc8fcc91ab34","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",22658,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio Roncador, Lençóis, BA",-12.70027778,-41.35722222,"unknown",-12.70027778,-41.35722222,NA,"",NA,NA,NA,NA,NA,"1802",1999,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Clistenes","A.Clistenes","",NA,NA,"ACAS99031301","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_007","e93c4ea6-3671-4972-8d14-f1152e7a6342","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",23799,264425,"Astyanax hamatilis",NA,"Astyanax hamatilis","species","Lambari","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","Astyanax hamatilis","MNRJ","ICTIOLOGIAMNRJ","rio São José, Lençóis, BA",-12.52111111,-41.37638889,"unknown",-12.52111111,-41.37638889,NA,"",NA,NA,NA,NA,NA,"70",1999,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Clistenes","F.Melo","2014-01-01",NA,NA,"ACAS99031102","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_008","e61b4f70-a186-4c18-be9c-0d54aa85cb6e","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",21993,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio São José, Lençóis, BA",-12.54777778,-41.54611111,"unknown",-12.54777778,-41.54611111,NA,"",NA,NA,NA,NA,NA,"38",1999,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Clistenes","A.Clistenes","2001-01-01",NA,NA,"ACAS99031002","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_009","e186d7f7-aa96-4627-b4cb-0e4810a29ca5","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",22692,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio Utinga-fazenda Pirajá, Utinga, BA",-12.24527778,-41.16333333,"unknown",-12.24527778,-41.16333333,NA,"",NA,NA,NA,NA,NA,"1103",1999,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","true","A.Clistenes","A.Clistenes","2000-01-01",NA,NA,"ACAS99031404","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","true","false","false","true",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"occ_010","dc1fffd6-bb89-4af4-9be7-6094e7a61454","dr143","Base de dados da coleção Ictiológica do MNRJ","in1","Museu Nacional do Rio de Janeiro","co101","Coleção Ictiológica do MNRJ","CC-BY-NC",21639,170053,"Astyanax",NA,"Astyanax","genus","Astynaxes","Animalia","Chordata","Actinopteri","Characiformes","Characidae","Astyanax","","MNRJ","ICTIOLOGIAMNRJ","rio São Francisco, Pirapora, MG",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"3",1958,3,"PreservedSpecimen","PreservedSpecimen","present",NA,"true","","H.Travassos","F.A.G.Melo","2001-01-01",NA,NA,"HT58031301","true","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
